ID          Chr    Position
Q1           1     7.66538
Q2           1    12.89661
Q3           1    27.64204
Q4           1    36.44080
Q5           1    41.79472
Q6           1    46.63133
Q7           1    48.70374
Q8           1    56.87762
Q9           1    57.41459
Q10          1    58.94286
Q11          1    61.40195
Q12          1    63.00315
Q13          1    64.70644
Q14          1    73.44617
Q15          1    74.07497
Q16          1    79.55138
Q17          1    80.65877
Q18          1    82.20102
Q19          1    83.23310
Q20          1    90.03860
Q21          1    93.28141
Q22          1    95.83612
Q23          1    96.02133
Q24          2     5.90775
Q25          2     8.67071
Q26          2    14.11717
Q27          2    27.18830
Q28          2    28.05431
Q29          2    28.32645
Q30          2    32.81696
Q31          2    34.62821
Q32          2    39.57046
Q33          2    43.08005
Q34          2    47.02210
Q35          2    47.31491
Q36          2    50.10474
Q37          2    50.64900
Q38          2    61.76924
Q39          2    62.52088
Q40          2    63.55460
Q41          2    70.97793
Q42          2    73.02238
Q43          2    78.65680
Q44          2    84.73144
Q45          3     1.96991
Q46          3     8.95488
Q47          3    15.74065
Q48          3    16.26880
Q49          3    23.70143
Q50          3    24.29717
Q51          3    29.22202
Q52          3    31.94121
Q53          3    42.90312
Q54          3    45.55589
Q55          3    49.15300
Q56          3    57.23576
Q57          3    58.78347
Q58          3    61.58684
Q59          3    65.04567
Q60          3    71.05304
Q61          3    75.73480
Q62          3    93.95661
Q63          3    97.64235
Q64          4    12.89875
Q65          4    18.80554
Q66          4    28.07396
Q67          4    31.18645
Q68          4    37.49827
Q69          4    38.75715
Q70          4    43.45919
Q71          4    43.57280
Q72          4    48.81131
Q73          4    54.86600
Q74          4    57.52033
Q75          4    58.36136
Q76          4    59.37283
Q77          4    67.32439
Q78          4    72.15369
Q79          4    79.36221
Q80          4    85.17155
Q81          4    90.46314
Q82          4    92.68703
Q83          4    94.44298
Q84          4    94.44878
Q85          4    96.51296
Q86          4    98.89720
Q87          5     2.07358
Q88          5     2.66903
Q89          5     4.58234
Q90          5     7.79606
Q91          5     9.56831
Q92          5    12.26049
Q93          5    13.41602
Q94          5    22.25454
Q95          5    23.11403
Q96          5    23.46923
Q97          5    23.51247
Q98          5    35.02503
Q99          5    37.55670
Q100         5    41.35171
Q101         5    46.27655
Q102         5    48.64573
Q103         5    49.60040
Q104         5    53.87378
Q105         5    54.80145
Q106         5    58.28375
Q107         5    59.29868
Q108         5    64.00220
Q109         5    68.25606
Q110         5    85.07024
Q111         6     0.16392
Q112         6     3.18934
Q113         6     8.34462
Q114         6    13.94767
Q115         6    26.39830
Q116         6    38.19027
Q117         6    41.03415
Q118         6    49.64588
Q119         6    51.92099
Q120         6    59.53249
Q121         6    64.69025
Q122         6    65.29148
Q123         6    74.80424
Q124         6    76.07942
Q125         6    77.02448
Q126         6    81.00610
Q127         6    89.09425
Q128         6    93.82344
Q129         6    94.15112
Q130         6    97.85093
Q131         7     3.93356
Q132         7     5.82495
Q133         7     6.60335
Q134         7    12.06015
Q135         7    12.07396
Q136         7    13.90527
Q137         7    14.69883
Q138         7    17.90557
Q139         7    18.80190
Q140         7    22.44126
Q141         7    32.65341
Q142         7    39.81184
Q143         7    40.94041
Q144         7    49.27453
Q145         7    49.73068
Q146         7    51.20037
Q147         7    58.21692
Q148         7    58.73025
Q149         7    58.84532
Q150         7    62.37116
Q151         7    65.59187
Q152         7    68.26414
Q153         7    75.45905
Q154         7    75.47972
Q155         7    82.99440
Q156         7    91.79078
Q157         7    92.02070
Q158         7    93.07418
Q159         7    95.74124
Q160         7    99.66873
Q161         8     2.88545
Q162         8    13.58413
Q163         8    14.00541
Q164         8    14.09153
Q165         8    18.79142
Q166         8    19.02557
Q167         8    30.91440
Q168         8    32.50277
Q169         8    46.55495
Q170         8    49.16854
Q171         8    49.99683
Q172         8    50.45631
Q173         8    55.43573
Q174         8    55.82386
Q175         8    67.40495
Q176         8    72.27192
Q177         8    74.25338
Q178         8    87.83537
Q179         8    89.19994
Q180         8    91.69209
Q181         8    97.98991
Q182         8    98.91828
Q183         8    99.91174
Q184         9     2.28114
Q185         9     2.32584
Q186         9     9.10240
Q187         9    11.31114
Q188         9    29.66352
Q189         9    30.30835
Q190         9    32.50063
Q191         9    36.06166
Q192         9    36.74603
Q193         9    40.61519
Q194         9    41.11453
Q195         9    41.68170
Q196         9    45.96325
Q197         9    47.50925
Q198         9    51.30086
Q199         9    77.30923
Q200         9    80.40729
Q201         9    83.33544
Q202         9    88.79911
Q203         9    96.85919
Q204        10     2.87413
Q205        10     8.95324
Q206        10     9.09905
Q207        10    10.18029
Q208        10    10.58922
Q209        10    10.91431
Q210        10    12.71585
Q211        10    14.07748
Q212        10    18.60014
Q213        10    19.50747
Q214        10    20.18501
Q215        10    21.80125
Q216        10    22.98926
Q217        10    32.55226
Q218        10    33.06580
Q219        10    37.73975
Q220        10    40.46133
Q221        10    43.31896
Q222        10    43.60796
Q223        10    46.47857
Q224        10    51.27180
Q225        10    54.71915
Q226        10    58.03588
Q227        10    59.67703
Q228        10    63.72613
Q229        10    70.05780
Q230        10    70.24875
Q231        10    70.83165
Q232        10    72.07740
