---------------- Statistics for the last historical generation -----------------
Scaled QTL mean (var)       :     0.00000 (0.2)
QTL scale factor            :     1.82812
Polygenic mean (var)        :     0.00000 (0)

                                  Overall      Chr1      Chr2      Chr3      Chr4      Chr5      Chr6      Chr7      Chr8      Chr9     Chr10     Chr11     Chr12     Chr13     Chr14     Chr15     Chr16     Chr17     Chr18     Chr19     Chr20     Chr21     Chr22     Chr23     Chr24     Chr25     Chr26     Chr27     Chr28     Chr29     Chr30
Chromosome length (male)    :    3000.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000   100.000
Chromosome length (female)  :    3750.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000   125.000

No. loci                    :       10050       335       335       335       335       335       335       335       335       335       335       335       335       335       335       335       335       335       335       335       335       335       335       335       335       335       335       335       335       335       335
No. markers                 :        9990       333       333       333       333       333       333       333       333       333       333       333       333       333       333       333       333       333       333       333       333       333       333       333       333       333       333       333       333       333       333
No. QTL                     :          60         2         2         2         2         2         2         2         2         2         2         2         2         2         2         2         2         2         2         2         2         2         2         2         2         2         2         2         2         2         2

No. non-seg. loci           :        1178        30        34        33        40        36        32        45        38        38        49        38        34        42        41        38        40        38        44        43        55        36        31        37        44        35        44        35        41        43        44
No. non-seg. markers        :        1177        30        34        33        40        36        32        44        38        38        49        38        34        42        41        38        40        38        44        43        55        36        31        37        44        35        44        35        41        43        44
No. non-seg. QTL            :           1         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0

                                     male      female
Density in total            :     3.35000     2.68000 per 1 cM
Density for markers         :     3.33000     2.66400 per 1 cM
Density for QTL             :     0.02000     0.01600 per 1 cM

Average no. alleles         :     1.88647
Maximum no. alleles         :           3
Minimum no. alleles         :           1

Average no. marker alleles  :     1.88218
Maximum no. marker alleles  :           2
Minimum no. marker alleles  :           1

Average no. QTL alleles     :     2.60000
Maximum no. QTL alleles     :           3
Minimum no. QTL alleles     :           1

------------------- Statistics for the historical population -------------------
No. marker mutation events  :           0
No. QTL mutation events     :           0
No. paternal crossovers     :   5,998,874
No. maternal crossovers     :   7,503,235

Gen.       Size    No. males  No. females
------------------------------------------
*0        1,000          500          500
 1        1,000          500          500
 2        1,000          500          500
 3        1,000          500          500
 4        1,000          500          500
 5        1,000          500          500
 6        1,000          500          500
 7        1,000          500          500
 8        1,000          500          500
 9        1,000          500          500
 10       1,000          500          500
 11       1,000          500          500
 12       1,000          500          500
 13       1,000          500          500
 14       1,000          500          500
 15       1,000          500          500
 16       1,000          500          500
 17       1,000          500          500
 18       1,000          500          500
 19       1,000          500          500
 20       1,000          500          500
 21       1,000          500          500
 22       1,000          500          500
 23       1,000          500          500
 24       1,000          500          500
 25       1,000          500          500
 26       1,000          500          500
 27       1,000          500          500
 28       1,000          500          500
 29       1,000          500          500
 30       1,000          500          500
 31       1,000          500          500
 32       1,000          500          500
 33       1,000          500          500
 34       1,000          500          500
 35       1,000          500          500
 36       1,000          500          500
 37       1,000          500          500
 38       1,000          500          500
 39       1,000          500          500
 40       1,000          500          500
 41       1,000          500          500
 42       1,000          500          500
 43       1,000          500          500
 44       1,000          500          500
 45       1,000          500          500
 46       1,000          500          500
 47       1,000          500          500
 48       1,000          500          500
 49       1,000          500          500
 50       1,000          500          500
 51       1,000          500          500
 52       1,000          500          500
 53       1,000          500          500
 54       1,000          500          500
 55       1,000          500          500
 56       1,000          500          500
 57       1,000          500          500
 58       1,000          500          500
 59       1,000          500          500
 60       1,000          500          500
 61       1,000          500          500
 62       1,000          500          500
 63       1,000          500          500
 64       1,000          500          500
 65       1,000          500          500
 66       1,000          500          500
 67       1,000          500          500
 68       1,000          500          500
 69       1,000          500          500
 70       1,000          500          500
 71       1,000          500          500
 72       1,000          500          500
 73       1,000          500          500
 74       1,000          500          500
 75       1,000          500          500
 76       1,000          500          500
 77       1,000          500          500
 78       1,000          500          500
 79       1,000          500          500
 80       1,000          500          500
 81       1,000          500          500
 82       1,000          500          500
 83       1,000          500          500
 84       1,000          500          500
 85       1,000          500          500
 86       1,000          500          500
 87       1,000          500          500
 88       1,000          500          500
 89       1,000          500          500
 90       1,000          500          500
 91       1,000          500          500
 92       1,000          500          500
 93       1,000          500          500
 94       1,000          500          500
 95       1,000          500          500
 96       1,000          500          500
 97       1,000          500          500
 98       1,000          500          500
 99       1,000          500          500
 100      1,000          500          500
 101      1,000          500          500
 102      1,000          500          500
 103      1,000          500          500
 104      1,000          500          500
 105      1,000          500          500
 106      1,000          500          500
 107      1,000          500          500
 108      1,000          500          500
 109      1,000          500          500
 110      1,000          500          500
 111      1,000          500          500
 112      1,000          500          500
 113      1,000          500          500
 114      1,000          500          500
 115      1,000          500          500
 116      1,000          500          500
 117      1,000          500          500
 118      1,000          500          500
 119      1,000          500          500
 120      1,000          500          500
 121      1,000          500          500
 122      1,000          500          500
 123      1,000          500          500
 124      1,000          500          500
 125      1,000          500          500
 126      1,000          500          500
 127      1,000          500          500
 128      1,000          500          500
 129      1,000          500          500
 130      1,000          500          500
 131      1,000          500          500
 132      1,000          500          500
 133      1,000          500          500
 134      1,000          500          500
 135      1,000          500          500
 136      1,000          500          500
 137      1,000          500          500
 138      1,000          500          500
 139      1,000          500          500
 140      1,000          500          500
 141      1,000          500          500
 142      1,000          500          500
 143      1,000          500          500
 144      1,000          500          500
 145      1,000          500          500
 146      1,000          500          500
 147      1,000          500          500
 148      1,000          500          500
 149      1,000          500          500
 150      1,000          500          500
 151      1,000          500          500
 152      1,000          500          500
 153      1,000          500          500
 154      1,000          500          500
 155      1,000          500          500
 156      1,000          500          500
 157      1,000          500          500
 158      1,000          500          500
 159      1,000          500          500
 160      1,000          500          500
 161      1,000          500          500
 162      1,000          500          500
 163      1,000          500          500
 164      1,000          500          500
 165      1,000          500          500
 166      1,000          500          500
 167      1,000          500          500
 168      1,000          500          500
 169      1,000          500          500
 170      1,000          500          500
 171      1,000          500          500
 172      1,000          500          500
 173      1,000          500          500
 174      1,000          500          500
 175      1,000          500          500
 176      1,000          500          500
 177      1,000          500          500
 178      1,000          500          500
 179      1,000          500          500
